State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
NJ,4,7,1.0,1,8,1,N,9.210340371976184,8.517193191416238,7.824046010856292,3,0
NY,7,4,2.0,4,4,1,N,9.680344001221918,8.987196820661973,8.294049640102028,2,1
VT,3,3,1.0,0,3,2,N,10.308952660644293,10.308952660644293,9.615805480084347,2,1
OH,0,0,1.0,0,0,1,N,9.210340371976184,9.210340371976184,8.517193191416238,3,0
CA,7,1,1.0,0,1,1,N,10.126631103850338,10.126631103850338,9.433483923290392,5,1
MO,5,1,1.0,0,1,1,N,8.517193191416238,8.517193191416238,8.354674261918463,1,0
IL,5,2,1.0,0,2,1,N,10.986089015931872,10.819778284410283,10.126631103850338,3,0
MI,7,3,2.0,3,3,1,N,11.736069016284436,11.736069016284436,11.042921835724492,2,1
OH,2,1,2.0,0,1,2,N,10.623203633138218,10.126631103850338,9.433483923290392,3,0
MI,4,3,2.0,0,3,1,N,10.126631103850338,10.126631103850338,9.433483923290392,1,0
FL,3,1,1.0,2,1,1,N,9.615805480084347,9.615805480084347,8.922658299524402,2,0
TX,4,1,2.0,12,1,1,N,10.929529148369404,10.929529148369404,10.236381967809455,3,0
PA,7,1,1.0,0,1,1,N,10.747207591575448,9.903487552536127,9.210340371976184,3,1
MI,2,3,2.0,2,1,2,N,9.210340371976184,9.210340371976184,8.517193191416238,2,0
NV,4,1,1.0,0,1,1,N,9.210340371976184,9.210340371976184,8.517193191416238,3,0
CA,7,15,1.0,0,15,1,N,10.980774054489483,10.308952660644293,9.615805480084347,2,1
CA,4,1,1.0,0,1,1,N,11.815020667433751,10.819778284410283,10.126631103850338,1,0
NY,6,3,2.0,1,4,1,N,10.777997497061715,10.126631103850338,9.433483923290392,2,1
CA,3,5,1.0,0,5,1,N,11.669929213779891,10.819778284410283,10.126631103850338,2,0
CA,0,1,1.0,0,1,1,N,9.210340371976184,9.210340371976184,8.517193191416238,2,0
NH,3,6,1.0,0,6,1,N,11.225243392518449,11.225243392518449,10.532096211958502,3,0
NY,7,8,1.0,0,8,2,N,10.948945166399715,10.126631103850338,9.433483923290392,1,1
NC,4,3,1.0,0,3,1,N,10.126631103850338,10.126631103850338,9.433483923290392,2,0
IL,3,2,2.0,0,2,1,N,11.62946328121818,10.126631103850338,9.433483923290392,1,0
OR,5,2,2.0,0,2,1,N,10.12077398436594,9.210340371976184,8.517193191416238,2,0
MN,4,1,1.0,1,1,1,N,10.819778284410283,10.819778284410283,10.126631103850338,5,0
CA,2,2,1.0,0,2,1,N,10.152922437804406,9.210340371976184,8.517193191416238,2,0
MO,7,1,1.0,0,1,1,N,11.257026256916028,10.308952660644293,9.615805480084347,2,1
AZ,8,1,1.0,2,1,1,N,11.859673297786212,10.819778284410283,10.126631103850338,2,1
RI,7,2,2.0,1,3,1,N,9.954038071134027,9.210340371976184,8.517193191416238,3,1
FL,7,2,1.0,0,2,1,N,10.697610650436076,9.798127036878302,9.104979856318357,3,1
MA,6,1,2.0,0,1,2,N,10.434997767494952,9.615805480084347,8.922658299524402,4,1
NJ,2,1,1.0,1,1,1,N,10.819778284410283,10.819778284410283,10.126631103850338,2,0
TN,2,1,2.0,1,0,2,N,10.645424897265505,10.126631103850338,9.433483923290392,2,1
IL,1,5,1.0,0,0,1,N,11.47440290804916,11.512925464970229,10.819778284410283,3,0
NY,7,10,1.0,0,10,1,N,11.512925464970229,11.512925464970229,10.819778284410283,3,1
MI,5,5,1.0,0,5,1,N,11.524251087300144,10.819778284410283,10.126631103850338,1,0
KY,1,1,1.0,0,1,1,N,9.938468521431371,9.367344120785848,8.674196940225903,2,0
NC,2,3,1.0,1,4,1,N,10.656129304881713,9.903487552536127,9.210340371976184,2,0
TX,6,1,1.0,10,0,1,N,11.225243392518449,10.126631103850338,9.433483923290392,2,0
IL,0,45,1.0,0,45,1,N,14.162640089059476,14.162640089059476,13.874958016607694,2,0
AZ,7,1,2.0,0,1,1,N,10.121015365064702,9.615805480084347,8.922658299524402,3,1
NJ,4,15,1.0,0,15,1,N,11.225243392518449,11.225243392518449,10.532096211958502,2,1
MI,6,1,1.0,0,1,1,N,10.819778284410283,10.596634733096073,9.903487552536127,2,0
FL,20,5,1.0,5,0,2,N,12.618182296357007,12.618182296357007,12.618182296357007,5,1
CA,4,3,1.0,0,3,2,N,10.44112062422171,10.126631103850338,9.433483923290392,2,0
CA,3,2,1.0,0,2,1,N,11.918383906389504,11.512925464970229,10.819778284410283,3,0
PA,7,2,1.0,0,2,1,N,10.628811464791294,10.126631103850338,9.433483923290392,5,1
NY,3,6,1.0,0,6,1,N,11.119882876860622,10.46310334047155,9.769956159911606,2,0
PA,3,9,2.0,0,9,1,N,10.86283777387073,10.86283777387073,10.169690593310785,1,0
NY,7,6,2.0,5,0,2,N,13.592367006650065,13.592367006650065,13.304684934198283,4,1
VA,3,7,1.0,0,7,1,N,10.643255879980666,10.126631103850338,9.433483923290392,1,0
IL,5,25,1.0,0,25,1,N,9.24725072599628,9.210340371976184,8.517193191416238,3,0
IL,2,2,2.0,1,3,1,N,10.126631103850338,10.126631103850338,9.433483923290392,3,0
PA,1,10,1.0,0,10,1,N,11.7200859651111,10.819778284410283,10.126631103850338,2,0
NC,7,2,2.0,0,2,1,N,9.433483923290392,9.433483923290392,9.270964993792616,1,0
MO,7,1,1.0,0,1,2,N,11.100058027095304,10.596634733096073,9.903487552536127,3,1
NV,4,1,1.0,0,1,1,N,9.852194258148575,9.210340371976184,8.517193191416238,1,0
TX,7,18,1.0,0,18,1,N,12.765688433465597,12.765688433465597,12.072541252905651,3,1
TX,7,1,1.0,0,1,1,N,10.702727480606711,10.126631103850338,9.433483923290392,3,1
CO,7,1,2.0,0,1,1,N,11.277291735118672,10.126631103850338,9.433483923290392,2,1
CA,3,5,2.0,5,5,1,N,11.964001084330445,11.964001084330445,11.676319011878665,2,0
NY,5,5,1.0,0,5,1,N,11.407564949312402,11.407564949312402,10.714417768752456,3,1
GA,0,7,2.0,0,7,1,N,10.987409125794231,10.308952660644293,9.615805480084347,2,0
