State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
WV,7,0,1.0,0,0,1,N,10.46310334047155,10.46310334047155,9.769956159911606,2,1
MO,4,4,1.0,0,0,1,N,10.16585181700362,10.16585181700362,9.472704636443671,2,1
TX,2,5,1.0,2,3,2,N,12.963062792885845,11.512925464970229,10.819778284410283,2,1
CA,20,35,1.0,16,0,1,N,14.216298076521328,14.216298076521328,14.216298076521328,4,1
FL,7,2,2.0,3,3,1,N,10.373491181781864,9.903487552536127,9.210340371976184,5,1
MI,5,1,1.0,0,1,1,N,10.295529640312152,10.295529640312152,9.602382459752208,1,1
OR,7,4,1.0,3,7,1,N,11.32274510854598,10.09410791214478,9.400960731584831,3,1
NY,1,3,1.0,1,3,1,N,11.161707035713077,10.819778284410283,10.126631103850338,2,1
MA,0,1,2.0,3,1,1,N,11.175296559665634,10.819778284410283,10.126631103850338,2,0
MN,7,4,1.0,1,5,1,N,10.309619105187451,10.126631103850338,9.433483923290392,2,1
CA,1,22,1.0,0,22,2,N,12.594730635321955,12.429216196844385,11.736069016284436,2,1
SC,1,1,2.0,0,1,1,N,13.710150042306449,13.710150042306449,13.604789526648622,3,1
WY,2,7,1.0,2,4,2,N,10.463131911491969,9.903487552536127,9.210340371976184,3,1
MT,5,2,2.0,1,2,2,N,10.085809109330082,10.085809109330082,9.392661928770137,4,1
WI,7,1,1.0,0,1,1,N,10.596634733096073,10.596634733096073,9.903487552536127,2,1
NY,5,4,1.0,1,4,1,N,10.819778284410283,10.819778284410283,10.126631103850338,3,0
CA,7,20,1.0,5,25,1,N,11.512925464970229,11.512925464970229,10.819778284410283,4,1
IN,7,27,1.0,0,27,1,N,10.819778284410283,10.596634733096073,9.903487552536127,1,1
MD,7,19,1.0,0,19,1,N,12.429216196844385,12.429216196844385,11.736069016284436,3,1
RI,25,1,2.0,0,1,1,N,11.736069016284436,11.736069016284436,11.630708500626612,2,1
AR,2,1,2.0,1,1,2,N,10.48469707985521,9.903487552536127,9.210340371976184,3,1
IN,3,10,1.0,5,5,1,N,13.23682713256146,11.918390573078392,11.225243392518449,4,1
GA,3,1,2.0,1,1,1,N,13.138039856789336,13.138039856789336,12.444892676229392,3,1
FL,0,2,2.0,0,2,2,N,9.903487552536127,9.903487552536127,9.210340371976184,1,0
CA,10,1,1.0,0,0,1,N,12.429216196844385,12.429216196844385,12.141534124392605,2,1
CA,7,6,2.0,3,6,1,N,12.765688433465597,12.765688433465597,12.072541252905651,2,1
MN,15,13,1.0,0,13,2,N,12.651629881870983,12.651629881870983,12.3639478094192,3,1
OH,5,5,1.0,0,0,1,N,10.341742483467284,10.126631103850338,9.433483923290392,2,1
