State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
CA,10,1,2.0,8,1,1,N,12.721885810807205,12.721885810807205,12.434203738355423,2,1
NY,6,4,1.0,2,2,1,N,10.849201155083453,10.126631103850338,9.433483923290392,2,1
NC,5,1,2.0,1,0,1,N,11.127262984158245,11.127262984158245,10.4341158035983,5,1
NH,20,3,1.0,4,0,1,N,11.827736204810265,11.827736204810265,11.827736204810265,5,1
NJ,8,1,1.0,0,1,1,N,11.54755874886458,10.126631103850338,9.433483923290392,2,0
CA,25,6,1.0,6,6,1,N,13.350295445450335,13.350295445450335,13.062613372998555,3,1
GA,7,4,1.0,0,4,1,N,12.206072645530174,12.206072645530174,11.918390573078392,2,0
MA,2,2,2.0,1,1,1,N,11.002099841204238,11.002099841204238,10.839580911706465,1,0
OK,7,2,2.0,0,0,1,Y,11.379394072345706,11.379394072345706,11.21687514284793,2,1
MT,1,6,1.0,0,6,1,N,10.041247492240611,9.903487552536127,9.210340371976184,2,1
IA,8,5,1.0,0,0,2,N,10.714417768752456,10.714417768752456,10.55189883925468,2,0
IA,5,4,1.0,0,0,1,Y,9.798127036878302,9.798127036878302,9.635608107380529,2,1
MA,3,3,1.0,0,3,1,N,9.903487552536127,9.903487552536127,9.210340371976184,3,1
TX,10,1,1.0,4,1,1,N,10.856457308668777,10.596634733096073,9.903487552536127,3,1
NY,1,1,1.0,1,2,1,N,10.102338411281291,9.88837391472608,9.195226734166134,3,0
AR,7,3,2.0,0,0,1,N,10.308952660644293,10.308952660644293,10.146433731146518,5,1
CO,9,1,1.0,1,1,1,N,10.021270588192513,10.021270588192513,9.328123407632566,1,1
MD,10,25,1.0,3,25,1,N,13.9108207377686,13.9108207377686,13.623138665316818,3,1
CO,7,5,1.0,0,5,1,N,10.308952660644293,10.308952660644293,9.615805480084347,3,1
CA,10,6,2.0,0,6,1,N,10.968198289528557,10.968198289528557,10.680516217076775,2,1
OR,13,5,1.0,0,5,2,N,12.983101310070822,12.983101310070822,12.69541923761904,2,1
CO,2,3,1.0,1,4,1,N,10.999295913871505,10.819778284410283,10.126631103850338,2,0
TX,9,1,2.0,0,0,1,N,13.527828485512494,13.527828485512494,13.240146413060712,5,0
RI,10,8,2.0,0,0,1,Y,11.695247021764184,11.695247021764184,11.532728092266408,2,1
CA,10,1,2.0,9,1,1,N,11.918390573078392,11.918390573078392,11.755871643580615,4,1
TX,7,2,1.0,2,2,0,N,12.301382825334498,12.301382825334498,12.013700752882718,5,1
MO,4,20,1.0,8,20,1,N,12.404923504275338,12.404923504275338,12.117241431823558,4,0
WI,7,1,1.0,0,0,2,Y,10.819778284410283,10.819778284410283,10.657259354912508,2,1
GA,4,195,1.0,105,300,1,N,11.51523280102192,11.512925464970229,10.819778284410283,2,0
WA,20,14,1.0,2,0,2,N,11.982929094215963,11.982929094215963,11.982929094215963,4,1
WA,7,1,2.0,1,1,1,N,11.002099841204238,11.002099841204238,10.308952660644293,3,1
CA,7,9,1.0,0,0,1,Y,11.512925464970229,11.512925464970229,11.350406535472452,3,1
IN,7,2,1.0,2,0,1,N,10.30668342120025,9.903487552536127,9.210340371976184,1,1
MO,5,1,2.0,1,1,1,N,9.615805480084347,9.615805480084347,8.922658299524402,2,1
CA,10,2,1.0,0,0,1,Y,10.819778284410283,10.819778284410283,10.657259354912508,1,1
CA,5,2,1.0,2,1,1,N,10.645424897265505,9.903487552536127,9.210340371976184,3,1
PA,25,22,1.0,0,22,1,N,13.035715570678656,13.035715570678656,12.748033498226876,2,1
CA,1,6,1.0,2,6,1,N,11.475867212013624,11.512925464970229,10.819778284410283,3,0
TX,7,2,2.0,0,0,1,Y,10.714395546283315,10.714417768752456,10.55189883925468,5,1
MN,6,74,1.0,0,0,1,N,12.506177237980513,12.765688433465597,12.478006361013817,3,1
MS,9,90,1.0,0,0,2,N,13.493926933836812,13.493926933836812,13.20624486138503,2,0
NJ,1,1,1.0,2,11,1,N,12.115814184281977,11.512925464970229,10.819778284410283,3,0
CA,25,25,1.0,25,0,1,N,13.38472764187182,13.38472764187182,13.09704556942004,3,1
MI,4,1,2.0,0,0,1,N,12.380025952653613,12.380025952653613,12.092343880201833,2,0
PA,25,8,1.0,0,8,1,N,13.937728190688524,14.038654109278484,13.750972036826704,2,1
MN,1,54,1.0,0,54,1,N,13.017002861746503,13.017002861746503,12.729320789294722,3,0
IN,20,6,1.0,3,6,1,N,13.00019574343012,13.00019574343012,12.71251367097834,1,1
KS,10,3,1.0,0,0,1,Y,11.225243392518449,11.225243392518449,11.062724463020672,3,1
OH,7,9,2.0,0,9,1,N,10.757902880692196,10.757902880692196,10.59538395119442,2,1
CO,1,2,1.0,1,3,1,N,10.68354610508537,10.308952660644293,9.615805480084347,3,0
MA,4,6,1.0,0,0,1,Y,11.77528972943772,11.77528972943772,11.612770799939945,2,0
WV,4,30,1.0,0,30,1,N,11.918390573078392,11.918390573078392,11.225243392518449,2,1
IN,7,5,2.0,4,1,1,N,11.512925464970229,11.512925464970229,11.350406535472452,2,1
SC,10,1,2.0,0,0,2,N,13.304684934198283,13.304684934198283,13.017002861746503,2,1
CT,2,4,1.0,1,5,1,N,10.562793524427304,10.126631103850338,9.433483923290392,4,0
MN,5,1,1.0,0,1,1,N,10.33299465512453,10.46310334047155,9.769956159911606,2,0
CA,6,2,1.0,1,2,1,N,10.681596093570333,10.126631103850338,9.433483923290392,3,1
FL,20,9,2.0,8,0,1,N,13.032438669876342,13.032438669876342,13.032438669876342,2,1
GA,7,1,2.0,0,1,1,N,9.903487552536127,9.903487552536127,9.210340371976184,3,1
AR,0,2,2.0,0,0,1,Y,9.903487552536127,9.903487552536127,9.740968623038354,2,0
WI,7,2,1.0,0,2,1,N,9.780415554946131,9.615805480084347,8.922658299524402,2,1
