State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
KY,20,31,1.0,11,0,0,N,12.823957341589573,12.823957341589573,12.823957341589573,0,1
PA,7,8,1.0,0,0,0,Y,11.002099841204238,11.002099841204238,10.778956289890028,0,1
NY,20,2,1.0,0,0,0,N,10.915088464214609,10.915088464214609,10.691944912900398,0,1
CA,23,20,2.0,0,0,0,N,13.304684934198283,13.304684934198283,13.017002861746503,0,1
TX,7,4,2.0,0,0,0,N,10.819778284410283,10.819778284410283,10.532096211958502,4,1
CA,20,3,1.0,0,7,0,N,11.418614785498988,11.418614785498988,11.418614785498988,0,1
NY,7,5,1.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.596634733096073,0,1
MI,5,1,2.0,0,0,0,Y,10.419300717813158,10.419300717813158,10.196157166498947,0,1
TX,7,56,1.0,0,0,0,N,13.122363377404328,13.122363377404328,12.834681304952548,3,1
MT,2,4,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.630708500626612,2,1
TX,7,6,1.0,0,0,0,Y,10.308952660644293,10.308952660644293,10.085809109330082,2,1
KS,4,7,1.0,0,0,0,N,10.819778284410283,10.819778284410283,10.596634733096073,0,1
MO,10,3,2.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.002099841204238,0,1
UT,18,19,1.0,0,0,0,N,13.528494930055654,13.528494930055654,13.240812857603872,0,1
NC,20,1,2.0,17,0,0,N,13.1499785444373,13.1499785444373,13.1499785444373,0,1
MT,12,2,1.0,0,0,0,Y,11.496796083040344,11.496796083040344,11.273652531726135,2,1
CA,3,35,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.225243392518449,3,1
TX,20,16,1.0,6,10,0,N,10.950806546816688,10.950806546816688,10.950806546816688,3,1
IL,7,5,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.491274217438248,0,1
VA,25,8,1.0,0,0,0,N,12.89921982609012,12.89921982609012,12.611537753638338,3,1
MN,25,18,2.0,0,0,0,N,13.296316684527769,13.514405465180351,13.226723392728571,0,1
NH,15,4,1.0,0,0,0,Y,11.156250521031495,11.156250521031495,10.933106969717286,2,1
TX,20,5,1.0,0,0,0,N,12.524526376648708,12.524526376648708,12.236844304196929,0,1
NY,15,7,2.0,0,0,0,N,12.013700752882718,12.013700752882718,11.726018680430936,0,1
MI,8,2,2.0,0,0,0,N,11.695247021764184,11.695247021764184,11.407564949312402,0,1
TX,7,3,1.0,0,0,0,Y,10.976782033219948,10.976782033219948,10.75363848190574,0,1
FL,19,8,1.0,0,0,0,N,14.130321297804308,14.130321297804308,13.527817818788938,2,1
NY,10,2,2.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,2,1
PA,7,3,2.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.596634733096073,3,1
NY,15,72,1.0,0,0,0,N,11.25156070083582,11.25156070083582,11.02841714952161,0,1
MI,2,1,1.0,0,0,0,Y,10.085809109330082,10.085809109330082,9.862665558015872,0,0
IN,3,16,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.630708500626612,0,0
CA,25,5,1.0,0,0,0,N,12.570715759118084,12.818551923022664,12.530869850570884,2,1
CA,3,85,1.0,0,0,0,N,12.611537753638338,12.611537753638338,12.323855681186558,2,0
NY,7,5,1.0,0,0,0,N,10.595158644212706,10.46310334047155,9.769956159911606,0,1
NM,6,7,1.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.002099841204238,0,1
NJ,4,5,1.0,0,0,0,N,12.676073149771026,11.512925464970229,10.819778284410283,2,1
AZ,7,2,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.289781913656018,0,1
WA,25,8,1.0,0,0,0,N,13.409044949522526,13.409044949522526,13.121362877070744,5,1
NC,9,5,2.0,0,0,0,N,12.618182296357007,12.618182296357007,12.330500223905226,5,1
MD,10,1,2.0,0,0,0,N,11.83500896413934,11.83500896413934,11.54732689168756,2,1
MO,4,1,1.0,0,0,0,Y,11.461632170582678,11.461632170582678,11.238488619268468,3,0
MD,20,97,1.0,30,0,0,N,13.527828485512494,13.527828485512494,13.527828485512494,0,1
CA,10,4,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.630708500626612,0,1
TX,7,2,2.0,0,0,0,N,11.385092093460344,11.385092093460344,11.097410021008562,0,1
NC,5,1,2.0,0,0,0,Y,10.308952660644293,10.308952660644293,10.085809109330082,2,1
NY,15,1,1.0,0,0,0,N,11.736069016284436,11.736069016284436,11.448386943832658,2,1
MN,10,4,1.0,0,0,0,N,10.327708989126736,11.225243392518449,10.937561320066669,3,1
NY,5,5,2.0,0,0,0,Y,10.46310334047155,10.46310334047155,10.23995978915734,0,1
IA,10,1,1.0,0,0,0,Y,10.799575577092764,10.799575577092764,10.576432025778551,5,1
HI,5,3,1.0,0,0,0,Y,10.645424897265505,10.645424897265505,10.422281345951296,0,1
LA,10,3,1.0,0,0,0,Y,10.77812260914145,11.25156070083582,11.02841714952161,0,1
AZ,1,2,1.0,0,0,0,N,11.002099841204238,11.002099841204238,10.308952660644293,1,0
WA,1,6,1.0,0,0,0,N,10.819778284410283,10.819778284410283,10.126631103850338,0,1
AR,10,5,2.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.596634733096073,2,1
AZ,4,2,2.0,0,0,0,N,11.225243392518449,11.225243392518449,10.532096211958502,2,1
CA,7,2,2.0,0,0,0,N,11.407564949312402,11.407564949312402,11.184421397998191,4,1
TX,7,20,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,3,1
IN,5,45,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,0,1
AR,20,9,2.0,7,2,0,N,12.491251587763836,12.491251587763836,12.491251587763836,3,1
MO,20,14,1.0,5,6,0,N,12.245293358683456,12.245293358683456,12.245293358683456,0,1
MO,5,3,2.0,0,0,0,N,10.778956289890028,10.778956289890028,10.085809109330082,0,1
IL,5,79,1.0,0,0,0,N,12.493129522588037,12.493129522588037,12.205447450136257,3,1
IL,6,18,1.0,0,0,0,N,12.959844447906551,12.959844447906551,12.672162375454771,2,0
MA,5,2,1.0,0,0,0,N,12.066810578196666,12.066810578196666,11.779128505744886,0,1
UT,7,1,2.0,0,0,0,Y,9.798127036878302,9.798127036878302,9.574983485564092,2,1
IL,5,4,2.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,0,1
MD,22,11,1.0,0,0,0,N,13.87377946608825,13.87377946608825,13.527817818788938,0,1
CA,10,2,1.0,0,0,0,N,11.225243392518449,11.225243392518449,11.002099841204238,0,1
CA,10,1,1.0,0,0,0,N,12.206072645530174,12.206072645530174,11.918390573078392,2,1
TN,20,3,2.0,0,0,0,Y,11.26446410567173,11.26446410567173,11.04132055435752,0,1
CA,25,65,1.0,0,0,0,N,12.139825999711247,12.139825999711247,11.852143927259467,3,1
SC,5,1,2.0,0,0,0,N,11.225243392518449,11.225243392518449,10.532096211958502,0,1
WI,2,6,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,3,0
TX,23,3,2.0,0,0,0,N,13.447341234599806,13.551545012129807,13.263862939678027,3,1
NY,1,3,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,0,0
TX,7,6,2.0,0,0,0,N,11.002099841204238,11.002099841204238,10.714417768752456,0,1
FL,25,22,1.0,0,0,0,N,12.793859310432293,12.793859310432293,12.506177237980513,0,1
CA,25,1,1.0,0,0,0,N,14.230595909449429,14.230595909449429,13.527648469310549,0,1
MO,10,2,1.0,0,0,0,Y,10.46310334047155,10.46310334047155,10.23995978915734,0,1
CA,10,4,1.0,0,0,0,N,11.002099841204238,11.002099841204238,10.778956289890028,0,1
WI,20,135,1.0,8,12,0,N,13.219490088135052,13.219490088135052,13.219490088135052,0,1
MS,15,1,2.0,0,0,0,N,12.781842957936547,12.781842957936547,12.494160885484764,5,1
CO,5,11,1.0,0,0,0,N,11.25156070083582,11.25156070083582,10.96387862838404,3,1
NY,1,35,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.630708500626612,3,0
CA,0,10,1.0,0,0,0,N,11.364100577898318,11.413105129688017,11.125423057236237,3,1
TX,11,4,2.0,0,0,0,N,12.660645327745366,12.660645327745366,12.372963255293586,3,1
CA,25,15,1.0,0,0,0,N,12.477625336052071,12.477625336052071,12.18994326360029,2,1
VA,20,1,2.0,0,0,0,N,12.66032791780777,12.66032791780777,12.37264584535599,4,1
IL,7,3,2.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.002099841204238,0,1
IL,7,6,1.0,0,0,0,N,10.915088464214609,10.915088464214609,10.691944912900398,0,1
CA,25,5,1.0,0,0,0,N,12.86617997201192,12.900469045490553,12.61278697303877,0,1
AZ,7,1,2.0,0,0,0,N,10.762149171573649,10.762149171573649,10.539005620259436,3,1
IA,5,26,1.0,0,0,0,Y,11.156250521031495,11.156250521031495,10.933106969717286,0,1
NY,3,1,1.0,0,0,0,N,10.795198665435892,10.46310334047155,9.769956159911606,0,1
CA,5,3,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.225243392518449,2,1
OH,15,14,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.289781913656018,5,1
MI,20,9,1.0,18,9,0,N,13.023647404465173,13.023647404465173,13.023647404465173,0,1
TX,7,8,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.225243392518449,2,1
NC,5,9,1.0,0,0,0,N,12.77280590123446,12.77280590123446,12.48512382878268,0,1
TX,7,4,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.491274217438248,2,1
FL,7,5,2.0,0,0,0,Y,11.49272275765271,11.49272275765271,11.2695792063385,0,1
NY,3,1,1.0,0,0,0,N,10.46310334047155,10.46310334047155,9.769956159911606,2,1
TX,10,8,1.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.002099841204238,0,1
UT,20,1,2.0,0,0,0,N,12.517227074167096,12.517227074167096,12.229545001715316,0,1
NY,7,1,2.0,0,0,0,N,12.429216196844385,12.429216196844385,12.141534124392605,0,1
KS,14,4,1.0,0,0,0,N,11.134180181561446,11.151237979207952,10.928094427893742,0,0
CA,20,5,1.0,0,0,0,N,12.77846362495432,12.77846362495432,12.490781552502538,0,1
IN,20,15,2.0,15,0,0,N,11.703545824578878,11.703545824578878,11.703545824578878,0,1
CO,7,4,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,0,1
ME,5,9,2.0,0,0,0,Y,10.596634733096073,10.596634733096073,10.373491181781864,2,1
CA,21,5,1.0,0,0,0,N,11.176053148327677,12.0435537160324,11.755871643580615,0,1
TX,24,5,1.0,0,0,0,N,12.594730635321955,12.594730635321955,12.307048562870175,2,1
CA,25,1,1.0,0,0,0,N,12.2783933071098,12.2783933071098,11.990711234658018,2,1
FL,1,5,1.0,0,0,0,N,11.512925464970229,11.512925464970229,10.819778284410283,0,1
NY,5,2,2.0,0,0,0,Y,11.156250521031495,11.156250521031495,10.933106969717286,2,1
MO,5,3,2.0,0,0,0,Y,10.915088464214609,10.915088464214609,10.691944912900398,5,1
MI,10,15,1.0,0,0,0,N,13.554145793829866,13.554145793829866,13.266463721378086,0,1
TN,25,2,2.0,0,0,0,N,11.904967552746252,11.904967552746252,11.617285480294472,0,1
KS,9,70,1.0,0,0,0,N,12.637855061955712,12.637855061955712,12.35017298950393,4,1
AZ,10,3,2.0,0,0,0,N,11.532728092266408,11.532728092266408,11.245046019814628,5,1
PA,15,10,1.0,0,0,0,N,11.002099841204238,11.002099841204238,10.714417768752456,3,1
CA,10,1,2.0,0,0,2,N,9.495519314209846,10.308952660644293,10.085809109330082,2,1
OR,7,6,1.0,0,0,0,N,12.721885810807205,12.721885810807205,12.434203738355423,0,1
NY,10,5,1.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.596634733096073,0,1
OH,2,8,1.0,0,0,0,N,12.206072645530174,12.206072645530174,11.918390573078392,0,0
GA,19,1,2.0,0,0,0,N,13.122363377404328,13.122363377404328,12.834681304952548,0,1
AL,7,9,1.0,0,0,0,N,10.819778284410283,10.819778284410283,10.596634733096073,0,1
MO,15,3,1.0,0,0,0,Y,11.127262984158245,11.127262984158245,10.904119432844034,0,1
MO,7,16,1.0,0,0,0,N,12.449018824140564,12.449018824140564,12.161336751688784,0,1
NJ,10,8,1.0,0,0,0,Y,11.082142548877776,11.082142548877776,10.858998997563564,0,1
CA,4,35,1.0,0,0,0,N,12.611537753638338,12.611537753638338,12.323855681186558,0,0
RI,7,13,1.0,0,0,0,N,12.611537753638338,12.611537753638338,12.323855681186558,3,1
MN,7,5,1.0,0,0,0,Y,10.491274217438248,10.491274217438248,10.268130666124035,0,1
CA,10,8,1.0,0,0,0,Y,11.512925464970229,11.512925464970229,11.289781913656018,3,1
LA,4,5,1.0,0,0,0,N,12.765688433465597,12.765688433465597,12.478006361013817,5,0
NC,0,1,1.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.002099841204238,0,0
PA,9,8,1.0,0,0,0,Y,10.596634733096073,10.596634733096073,10.373491181781864,0,1
TX,15,7,1.0,0,0,0,N,11.225243392518449,11.225243392518449,10.937561320066669,0,1
CA,25,7,1.0,0,0,0,N,12.891691559669328,12.891691559669328,12.604009487217546,0,1
PA,12,2,2.0,0,0,0,Y,11.156250521031495,11.156250521031495,10.933106969717286,0,1
CO,7,1,1.0,0,0,0,Y,10.736396675471232,10.736396675471232,10.513253124157025,0,1
WV,5,1,1.0,0,0,0,N,11.169350060477909,11.512925464970229,11.225243392518449,2,1
TX,20,1,1.0,2,0,0,N,10.714417768752456,10.714417768752456,10.714417768752456,3,1
AZ,11,42,1.0,0,0,0,N,10.661087313040806,10.661087313040806,9.967916692691816,0,1
TX,1,5,2.0,0,0,0,N,10.308952660644293,10.308952660644293,10.085809109330082,0,0
IA,10,3,1.0,0,0,0,N,11.382816779623209,11.382816779623209,11.159673228308998,2,1
AZ,24,9,1.0,0,0,0,N,12.23950742161641,12.23950742161641,11.951825349164633,0,1
UT,10,7,1.0,0,0,0,N,12.66032791780777,12.66032791780777,12.37264584535599,0,1
NJ,3,15,1.0,0,0,0,N,11.40755383813956,10.308952660644293,9.615805480084347,0,1
TX,7,10,2.0,0,0,0,Y,11.350406535472452,11.350406535472452,11.127262984158245,0,1
MN,0,2,1.0,0,0,0,Y,10.621327345686446,10.621327345686446,10.398183794372237,0,0
FL,7,3,2.0,0,0,0,Y,11.082142548877776,11.082142548877776,10.858998997563564,3,1
