State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
MO,7,30,1.0,0,0,0,N,12.206072645530174,12.206072645530174,11.918390573078392,2,1
AZ,10,8,1.0,0,0,0,N,13.215853720491667,13.215853720491667,12.928171648039887,5,1
OH,5,6,1.0,0,0,0,Y,10.448714603019452,10.596634733096073,10.373491181781864,2,1
TX,18,8,1.0,0,0,0,N,13.997832114758229,13.997832114758229,13.527828485512494,2,1
MI,5,11,1.0,0,0,0,N,10.126631103850338,10.126631103850338,9.433483923290392,0,1
WA,25,27,1.0,0,0,0,N,12.611537753638338,12.611537753638338,12.323855681186558,0,1
KS,6,2,2.0,0,0,0,N,12.144197241812089,12.144197241812089,11.856515169360303,0,1
MT,17,2,1.0,0,0,0,N,12.072541252905651,12.072541252905651,11.78485918045387,0,1
TX,8,6,1.0,0,0,0,N,11.982929094215963,11.982929094215963,11.695247021764184,0,1
CO,7,12,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.491274217438248,2,1
GA,20,9,1.0,3,9,0,N,12.697715449879391,12.697715449879391,12.697715449879391,2,1
GA,10,2,2.0,0,0,0,N,12.323855681186558,12.323855681186558,12.036173608734776,5,1
CA,25,2,1.0,0,0,0,N,12.933621252807452,12.933621252807452,12.64593918035567,0,1
NJ,7,10,2.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.596634733096073,0,1
NJ,3,16,2.0,0,0,0,Y,9.740968623038354,9.740968623038354,9.517825071724143,2,1
CA,10,4,2.0,0,0,0,N,11.289781913656018,11.289781913656018,11.06663836234181,0,1
GA,15,16,2.0,0,0,0,N,12.589632918250288,12.589632918250288,12.301950845798508,3,1
IA,7,3,1.0,0,0,0,Y,10.621327345686446,10.621327345686446,10.398183794372237,2,1
NH,7,22,1.0,0,0,0,N,12.506177237980513,12.506177237980513,12.218495165528733,2,1
ID,7,1,2.0,0,0,0,Y,10.404262840448617,10.404262840448617,10.181119289134408,0,0
SC,7,9,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.491274217438248,0,1
OH,20,12,1.0,0,0,0,Y,11.502875129116727,11.502875129116727,11.279731577802515,2,1
NY,20,97,1.0,12,0,0,N,12.936033799212836,12.936033799212836,12.936033799212836,0,1
PA,5,7,2.0,0,0,0,Y,10.308952660644293,10.308952660644293,10.085809109330082,2,1
TX,2,3,1.0,0,0,0,N,10.819778284410283,10.819778284410283,10.596634733096073,3,0
NV,6,1,2.0,0,0,0,Y,10.596634733096073,10.596634733096073,10.373491181781864,0,1
FL,5,1,2.0,0,0,0,Y,9.210340371976184,9.210340371976184,8.987196820661973,0,1
WA,7,2,1.0,0,0,0,N,10.863795169827055,10.863795169827055,10.640651618512848,3,1
OH,0,25,1.0,0,0,0,N,13.38472764187182,13.38472764187182,13.09704556942004,4,1
IN,5,56,1.0,0,0,0,N,13.09190416991962,13.09190416991962,12.80422209746784,0,1
TX,25,14,1.0,0,0,0,N,13.329377546788654,13.329377546788654,13.041695474336874,0,1
OH,20,7,1.0,4,0,0,N,11.728036844587177,11.728036844587177,11.728036844587177,2,1
