State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
IL,7,1,2.0,3,4,1,N,12.06452636216506,11.289781913656018,10.596634733096073,2,1
NH,1,2,1.0,2,2,2,N,11.231914424952484,11.156250521031495,10.993731591533722,2,1
KS,1,12,1.0,0,0,1,N,11.63247582687404,10.819778284410283,10.126631103850338,2,1
CA,20,87,1.0,4,0,1,N,13.077366011473591,13.077366011473591,13.077366011473591,1,1
AZ,7,3,1.0,1,3,1,N,12.765688433465597,12.765688433465597,12.072541252905651,5,1
NH,6,1,2.0,8,1,1,N,9.210340371976184,9.210340371976184,8.517193191416238,2,0
MT,2,1,2.0,0,1,1,N,9.78633556772527,9.615805480084347,8.922658299524402,3,1
NM,7,4,2.0,3,0,2,N,11.407564949312402,11.407564949312402,10.714417768752456,5,1
CO,10,100,1.0,0,100,1,N,13.304684934198283,13.304684934198283,13.017002861746503,1,1
OH,7,0,1.0,0,0,1,N,11.406575571150311,10.819778284410283,10.126631103850338,2,1
NY,5,18,1.0,4,20,1,N,11.082142548877776,11.082142548877776,10.388995368317827,3,1
MO,20,18,1.0,2,0,1,N,13.383187995686226,13.383187995686226,13.095505923234446,3,1
CA,10,28,1.0,0,28,1,N,13.122363377404328,13.122363377404328,12.834681304952548,3,1
TX,3,18,1.0,0,18,1,N,12.323855681186558,12.323855681186558,11.630708500626612,2,1
LA,5,3,1.0,0,3,2,N,11.407564949312402,11.407564949312402,11.245046019814628,5,1
UT,7,12,1.0,0,12,1,N,11.84939770159144,11.84939770159144,11.686878772093667,3,1
CO,5,1,1.0,0,1,1,N,10.46310334047155,10.46310334047155,9.769956159911606,5,0
OH,7,5,1.0,20,0,1,N,9.353574540062093,9.210340371976184,8.517193191416238,2,1
OK,7,15,1.0,0,15,2,N,13.627854799579618,13.627854799579618,13.340172727127836,4,1
CO,7,3,1.0,2,0,1,N,10.308952660644293,10.308952660644293,9.615805480084347,2,1
CA,5,1,2.0,1,0,1,N,10.45449496593495,10.45449496593495,9.761347785375005,2,0
IL,7,1,1.0,0,1,1,N,10.308952660644293,10.308952660644293,9.615805480084347,1,1
CA,12,80,1.0,0,0,1,N,14.189484998981069,14.189484998981069,13.901802926529289,2,1
MN,1,18,1.0,12,18,1,N,14.978661367769956,14.978661367769956,14.50865773852422,3,1
MO,1,20,1.0,0,20,1,N,13.180632285528304,12.765688433465597,12.072541252905651,3,1
MA,5,4,1.0,0,4,1,N,11.512925464970229,11.512925464970229,10.819778284410283,5,1
MS,12,0,2.0,2,0,2,N,13.604789526648622,13.604789526648622,13.31710745419684,5,1
CT,1,2,1.0,1,2,1,N,10.126631103850338,10.126631103850338,9.433483923290392,2,1
MS,2,1,1.0,0,1,2,N,8.809862805379057,9.425451751593128,9.262932822095353,3,0
PA,7,6,1.0,0,6,1,N,10.990819793335792,10.308952660644293,9.615805480084347,2,1
MI,10,0,2.0,0,0,1,N,13.028052697933088,13.028052697933088,12.740370625481306,3,1
NY,7,4,1.0,0,2,1,N,11.521042433072177,10.819778284410283,10.126631103850338,3,1
TX,7,2,2.0,0,2,2,N,11.497050115811938,11.225243392518449,10.532096211958502,5,1
