,diffs,total_num,robustness,total_time,average_time,pred_accuracy,validity,proximity
m_0,5,2302,tensor(0.9978),257.68607997894287,0.06350075898938957,0.9556431770324707,0.7752587199211121,14.286888122558594
m_1,0,5201,tensor(1.),372.19694995880127,0.06373235444500022,0.9541096091270447,0.9806506633758545,10.391997337341309
m_2,0,4836,tensor(1.),328.22125363349915,0.06307095573280153,0.935818612575531,0.9769408106803894,9.817309379577637
m_3,0,4981,tensor(1.),314.8128652572632,0.06320274347666396,0.9066452383995056,0.9684802293777466,6.880665302276611
m_4,0,4793,tensor(1.),309.8769257068634,0.06334360705373332,0.8924775123596191,0.9542109370231628,7.28355598449707
m_5,0,4681,tensor(1.),323.1292221546173,0.0628045135383124,0.8693877458572388,0.950048565864563,8.62403392791748
m_6,0,5164,tensor(1.),321.45693945884705,0.062249600979637304,0.8654143810272217,0.9326103925704956,6.862512588500977
m_7,0,5108,tensor(1.),324.5787732601166,0.06214412660542151,0.8498947024345398,0.9167145490646362,8.035049438476562
m_8,0,6203,tensor(1.),390.67865085601807,0.06292134818103046,0.8814623951911926,0.9325172901153564,6.815450191497803
m_9,0,8258,tensor(1.),524.2870764732361,0.06321281365725055,0.8846153616905212,0.9311550259590149,6.828672885894775
m_10,0,10047,tensor(1.),640.5429046154022,0.06355853389714251,0.876860499382019,0.9435403943061829,6.71385383605957
m_11,0,12083,tensor(1.),784.6001167297363,0.06493421474217796,0.8689067363739014,0.956798791885376,5.753490924835205
m_12,0,12781,tensor(1.),821.9173204898834,0.06430774747593172,0.8716845512390137,0.9563414454460144,5.700098037719727
m_13,0,12732,tensor(1.),818.8500077724457,0.06418828939189823,0.8800658583641052,0.9615113139152527,6.48638916015625
m_14,0,6833,tensor(1.),425.31849932670593,0.06224476793892959,0.8488218784332275,0.9429240226745605,5.584163665771484
m_15,0,2753,tensor(1.),165.6453673839569,0.060169040095879735,0.8172902464866638,0.9084634780883789,6.302492618560791
