,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15
m_0,0.7755051851272583,0.8122227787971497,0.8245441317558289,0.8383440375328064,0.30064070224761963,0.745194673538208,0.7930014729499817,0.5667816400527954,0.818136990070343,0.8238048553466797,0.8171513080596924,0.7769837379455566,0.8203548789024353,0.7890586256980896,0.8220798373222351,0.8050764203071594
m_1,0.9806506633758545,0.9806506633758545,0.9806506633758545,0.9806506633758545,0.30753424763679504,0.9804794788360596,0.9806506633758545,0.9410958886146545,0.9806506633758545,0.9801369905471802,0.9789383411407471,0.9799657464027405,0.9806506633758545,0.9684931635856628,0.9806506633758545,0.9799657464027405
m_2,0.976172149181366,0.9769408106803894,0.9769408106803894,0.9769408106803894,0.6293236017227173,0.9767486453056335,0.9769408106803894,0.9363951086997986,0.9769408106803894,0.9769408106803894,0.9765564799308777,0.9769408106803894,0.9769408106803894,0.9717525243759155,0.9769408106803894,0.9769408106803894
m_3,0.9433848857879639,0.9684802293777466,0.9684802293777466,0.9684802293777466,0.7237502336502075,0.9678779244422913,0.9684802293777466,0.760088324546814,0.9684802293777466,0.9684802293777466,0.9684802293777466,0.9684802293777466,0.9684802293777466,0.9682794809341431,0.9684802293777466,0.9684802293777466
m_4,0.44930499792099,0.8354456424713135,0.8536385893821716,0.9521667957305908,0.9542109370231628,0.8765330910682678,0.8683565258979797,0.5447669625282288,0.9482828974723816,0.9454210996627808,0.9495093822479248,0.9456254839897156,0.9525756239891052,0.954006552696228,0.9542109370231628,0.9529844522476196
m_5,0.9446064233779907,0.950048565864563,0.950048565864563,0.950048565864563,0.9222546219825745,0.950048565864563,0.950048565864563,0.9467443823814392,0.950048565864563,0.950048565864563,0.950048565864563,0.950048565864563,0.950048565864563,0.9486880302429199,0.950048565864563,0.950048565864563
m_6,0.8931061029434204,0.9326103925704956,0.9326103925704956,0.9326103925704956,0.9233152866363525,0.9326103925704956,0.9326103925704956,0.924283504486084,0.9326103925704956,0.9326103925704956,0.9326103925704956,0.9326103925704956,0.9326103925704956,0.9302865862846375,0.9326103925704956,0.9326103925704956
m_7,0.6197587847709656,0.9161401391029358,0.9157572388648987,0.9165230989456177,0.9167145490646362,0.9163315892219543,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362,0.9167145490646362
m_8,0.8967627882957458,0.9325172901153564,0.9325172901153564,0.9325172901153564,0.8866162300109863,0.9315509796142578,0.9325172901153564,0.8899983763694763,0.9325172901153564,0.9325172901153564,0.9325172901153564,0.9325172901153564,0.9325172901153564,0.9280077219009399,0.9325172901153564,0.9325172901153564
m_9,0.8412104845046997,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9153605103492737,0.9204244017601013,0.9311550259590149,0.9135519862174988,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9311550259590149,0.9311550259590149
m_10,0.4471125304698944,0.8676324486732483,0.8914467096328735,0.9171462655067444,0.9424489140510559,0.9186346530914307,0.9432427287101746,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829,0.9435403943061829
m_11,0.4604816734790802,0.9179011583328247,0.935860276222229,0.9495158195495605,0.956798791885376,0.935943067073822,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376,0.956798791885376
m_12,0.6145058870315552,0.9438228607177734,0.9496126770973206,0.9553242921829224,0.956184983253479,0.9438228607177734,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144,0.9563414454460144
m_13,0.67633455991745,0.8531002402305603,0.8852394819259644,0.8888453245162964,0.9608058333396912,0.9248256087303162,0.9608842134475708,0.961432933807373,0.9615113139152527,0.9615113139152527,0.9615113139152527,0.9615113139152527,0.9615113139152527,0.9615113139152527,0.9615113139152527,0.9615113139152527
m_14,0.7765256762504578,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.942777693271637,0.9395580291748047,0.9429240226745605,0.9418995976448059,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.9429240226745605,0.9429240226745605
m_15,0.38975661993026733,0.8568834066390991,0.8764983415603638,0.9048311114311218,0.9033781290054321,0.8456229567527771,0.9084634780883789,0.9081002473831177,0.9084634780883789,0.9084634780883789,0.9084634780883789,0.9084634780883789,0.9084634780883789,0.9084634780883789,0.9084634780883789,0.9084634780883789
