,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15
m_0,0.978807270526886,0.9443075656890869,0.9783144593238831,0.985953688621521,0.9627895355224609,0.987925112247467,0.9866929650306702,0.9864464998245239,0.9849679470062256,0.9866929650306702,0.9894036650657654,0.9881715178489685,0.9837358593940735,0.9898964762687683,0.9817644357681274,0.9029078483581543
m_1,0.9898972511291504,0.9907534122467041,0.9871575236320496,0.988869845867157,0.9900684952735901,0.9864726066589355,0.9863013625144958,0.9864726066589355,0.9863013625144958,0.9861301183700562,0.9849315285682678,0.9859589338302612,0.9859589338302612,0.9859589338302612,0.9861301183700562,0.9849315285682678
m_2,0.7557647824287415,0.7863182425498962,0.9312067627906799,0.9896233677864075,0.8668332099914551,0.9930822253227234,0.9915449619293213,0.991929292678833,0.9909684658050537,0.9803996682167053,0.9460030794143677,0.9926979541778564,0.9867409467697144,0.9896233677864075,0.983858585357666,0.8635664582252502
m_3,0.9753061532974243,0.976912260055542,0.9805259704589844,0.9857458472251892,0.9478016495704651,0.9853442907333374,0.9863481521606445,0.982132077217102,0.9895603060722351,0.9857458472251892,0.9869503974914551,0.9827343821525574,0.9899618625640869,0.9859465956687927,0.9897611141204834,0.9803252220153809
m_4,0.08053965866565704,0.12264922261238098,0.1124284565448761,0.0625511035323143,0.9928454756736755,0.12326247245073318,0.06602616608142853,0.19215044379234314,0.31909239292144775,0.9521667957305908,0.9871218204498291,0.3998364806175232,0.7358953356742859,0.8291087746620178,0.9961161017417908,0.2115699052810669
m_5,0.8942663073539734,0.8979591727256775,0.9811467528343201,0.9788143634796143,0.9904761910438538,0.9933916330337524,0.991253674030304,0.991253674030304,0.9904761910438538,0.992614209651947,0.988143801689148,0.9891156554222107,0.9764820337295532,0.9902818202972412,0.9776481986045837,0.9815354943275452
m_6,0.7225019335746765,0.9883810877799988,0.9878001809120178,0.9883810877799988,0.8929124474525452,0.9870255589485168,0.9912858009338379,0.9045313596725464,0.9852827191352844,0.9707590937614441,0.5441518425941467,0.8311386704444885,0.9409372806549072,0.9378389120101929,0.7989930510520935,0.22211463749408722
m_7,0.21501052379608154,0.4007275402545929,0.7193183898925781,0.49205437302589417,0.9484970569610596,0.899100124835968,0.8010721802711487,0.965345561504364,0.9320313930511475,0.9521347880363464,0.9678345918655396,0.9768332242965698,0.9682174921035767,0.9722381830215454,0.9525176882743835,0.9527091979980469
m_8,0.5477532744407654,0.779030442237854,0.9650507569313049,0.9695603251457214,0.9222096800804138,0.9875986576080322,0.9838943481445312,0.985343873500824,0.9892092347145081,0.9837332963943481,0.9822837710380554,0.9871155023574829,0.9776131510734558,0.9850217700004578,0.9795458316802979,0.9455628991127014
m_9,0.3777429461479187,0.4908367395401001,0.8778635263442993,0.7425850033760071,0.9640704393386841,0.9816734790802002,0.9780564308166504,0.983120322227478,0.966240644454956,0.9767301678657532,0.9667229056358337,0.9797443747520447,0.953580915927887,0.9664818048477173,0.9334458708763123,0.9403182864189148
m_10,0.39402660727500916,0.5866243243217468,0.8717007637023926,0.8316134214401245,0.8373685479164124,0.9449295401573181,0.9230998158454895,0.9075213074684143,0.9791625142097473,0.9915657639503479,0.9903751015663147,0.9685453176498413,0.9920619130134583,0.9907719492912292,0.9751935005187988,0.9643778800964355
m_11,0.4833236634731293,0.8835554122924805,0.9768269658088684,0.9824547171592712,0.7719109654426575,0.9906480312347412,0.987916886806488,0.9809650182723999,0.9399983286857605,0.9609368443489075,0.8905073404312134,0.9944550395011902,0.8763552308082581,0.9774890542030334,0.8993627429008484,0.7707523107528687
m_12,0.8262264132499695,0.9820827841758728,0.9197245836257935,0.8774743676185608,0.8651123046875,0.9244190454483032,0.9515687227249146,0.9083796143531799,0.825991690158844,0.9529770612716675,0.9057193994522095,0.9521946907043457,0.9911587238311768,0.986464262008667,0.9376417994499207,0.7774039506912231
m_13,0.8487105369567871,0.9313318133354187,0.8873559832572937,0.6562671661376953,0.9471662640571594,0.9815003275871277,0.9789919257164001,0.9803245067596436,0.9019361734390259,0.981421947479248,0.9375244975090027,0.9813435673713684,0.9968644380569458,0.9972563982009888,0.993807315826416,0.9320372939109802
m_14,0.6307624578475952,0.8060880899429321,0.9146787524223328,0.9484853148460388,0.9581443071365356,0.9606322050094604,0.9647299647331238,0.9421923160552979,0.9366310834884644,0.8997511863708496,0.9539002180099487,0.8978486657142639,0.9026781916618347,0.9574125409126282,0.9735109210014343,0.8835065364837646
m_15,0.494369775056839,0.7613512277603149,0.9106429219245911,0.8583363890647888,0.7388303875923157,0.9044678807258606,0.953505277633667,0.9495096206665039,0.6745368838310242,0.7976752519607544,0.8485288619995117,0.958953857421875,0.7268434166908264,0.8859425783157349,0.6451144218444824,0.9891027808189392
