,diffs,total_num,robustness,total_time,average_time,pred_accuracy,validity,proximity
m_0,3,4054,tensor(0.9993),0.03622007369995117,-1,0.9805322885513306,0.9953178763389587,6.866410732269287
m_1,161,5836,tensor(0.9724),0.04712724685668945,-1,0.9816780686378479,0.8839040994644165,7.103835582733154
m_2,6,5088,tensor(0.9988),0.03555035591125488,-1,0.9018062949180603,0.9940430521965027,8.759578704833984
m_3,1,4978,tensor(0.9998),0.03359222412109375,-1,0.8825536966323853,0.9749046564102173,8.716073036193848
m_4,0,4891,tensor(1.),0.03323006629943848,-1,0.9448078274726868,0.9955028891563416,7.5299530029296875
m_5,1,5140,tensor(0.9998),0.0350041389465332,-1,0.9343051314353943,0.9891156554222107,8.009394645690918
m_6,2,5122,tensor(0.9996),0.033467769622802734,-1,0.9082106947898865,0.993609607219696,7.1253557205200195
m_7,14,5200,tensor(0.9973),0.0360410213470459,-1,0.905418336391449,0.9636224508285522,7.601580619812012
m_8,10,6181,tensor(0.9984),0.039821624755859375,-1,0.8532775044441223,0.9780963063240051,6.975436210632324
m_9,1,7006,tensor(0.9999),0.05269432067871094,-1,0.8684591054916382,0.9826380610466003,7.276368141174316
m_10,5,9565,tensor(0.9995),0.06558871269226074,-1,0.8846993446350098,0.9924588203430176,7.137558460235596
m_11,1,12080,tensor(0.9999),0.07527589797973633,-1,0.862947940826416,0.9977654814720154,7.481984615325928
m_12,8,9043,tensor(0.9991),0.0765085220336914,-1,0.8734840750694275,0.9848212003707886,7.202353000640869
m_13,121,12687,tensor(0.9905),0.07660102844238281,-1,0.8639962077140808,0.9720937609672546,7.1018171310424805
m_14,0,6832,tensor(1.),0.04384255409240723,-1,0.8341870307922363,0.9871213436126709,7.358529567718506
m_15,2,2116,tensor(0.9991),0.018980979919433594,-1,0.6625499725341797,0.9909189939498901,8.085420608520508
